Kecamatan,Desa,Lokasi,Sumber Penghasilan Utama,Penerangan Jalan Utama,Bahan Bakar Yang Digunakan KK,Jamban,Tempat Buang Sampah,Tempat Penampungan Sampah Sementara,Rawan Longsor,Rawan Banjir,Rawan Angin Putting Beliung
KEMANGKON,KEDUNGBENDA,Hamparan,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KEMANGKON,BOKOL,Hamparan,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KEMANGKON,PLUMUTAN,Hamparan,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KEMANGKON,MAJATENGAH,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Ada
KEMANGKON,KEDUNGLEGOK,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Ada
KEMANGKON,KEMANGKON,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Ada,Tidak Ada,Tidak Ada,Tidak Ada
KEMANGKON,PANICAN,Hamparan,Pertanian,Tidak,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KEMANGKON,BAKULAN,Hamparan,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KEMANGKON,KARANGKEMIRI,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KEMANGKON,PEGANDEKAN,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KEMANGKON,SENON,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Ada
KEMANGKON,SUMILIR,Hamparan,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KEMANGKON,KALIALANG,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KEMANGKON,KARANGTENGAH,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KEMANGKON,MUNTANG,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KEMANGKON,GAMBARSARI,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KEMANGKON,TOYAREKA,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KEMANGKON,JETIS,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KEMANGKON,MAJASEM,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Ada
BUKATEJA,TIDU,Hamparan,Pertanian,Tidak,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
BUKATEJA,WIRASABA,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
BUKATEJA,KEMBANGAN,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
BUKATEJA,CIPAWON,Hamparan,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
BUKATEJA,KARANGCENGIS,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
BUKATEJA,KARANGGEDANG,Hamparan,Pertanian,Ada,Kayu Bakar,Bukan Jamban,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
BUKATEJA,KARANGNANGKA,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Ada,Tidak Ada,Tidak Ada
BUKATEJA,KUTAWIS,Hamparan,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Ada
BUKATEJA,KEBUTUH,Hamparan,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
BUKATEJA,PENARUBAN,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Ada
BUKATEJA,KEDUNGJATI,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Ada
BUKATEJA,BUKATEJA,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Ada,Tidak Ada,Tidak Ada,Tidak Ada
BUKATEJA,MAJASARI,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
BUKATEJA,BAJONG,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KEJOBONG,BANDINGAN,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KEJOBONG,LAMUK,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KEJOBONG,SOKANEGARA,Hamparan,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KEJOBONG,GUMIWANG,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KEJOBONG,KRENCENG,Hamparan,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KEJOBONG,NANGKASAWIT,Hamparan,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KEJOBONG,PANDANSARI,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KEJOBONG,KEJOBONG,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KEJOBONG,LANGGAR,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KEJOBONG,TIMBANG,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KEJOBONG,NANGKOD,Lereng,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KEJOBONG,KEDARPAN,Hamparan,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KEJOBONG,PANGEMPON,Lereng,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
PENGADEGAN,PASUNGGINGAN,Lereng,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Lainnya,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
PENGADEGAN,PENGADEGAN,Lereng,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
PENGADEGAN,KARANGJOHO,Lereng,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
PENGADEGAN,LARANGAN,Lereng,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
PENGADEGAN,PANUNGGALAN,Lereng,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
PENGADEGAN,BEDAGAS,Lereng,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Lainnya,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
PENGADEGAN,TUMANGGAL,Lereng,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Lainnya,Tidak,Ada,Tidak Ada,Tidak Ada
PENGADEGAN,TEGALPINGEN,Lereng,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Ada,Tidak Ada,Tidak Ada
PENGADEGAN,TETEL,Lereng,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KALIGONDANG,LAMONGAN,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KALIGONDANG,TEJASARI,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Ada,Ada,Tidak Ada
KALIGONDANG,CILAPAR,Hamparan,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Ada,Ada,Tidak Ada
KALIGONDANG,PENOLIH,Lembah,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Ada,Tidak Ada
KALIGONDANG,SINDURAJA,Hamparan,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Ada,Ada,Tidak Ada,Ada
KALIGONDANG,SELAKAMBANG,Hamparan,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KALIGONDANG,SELANEGARA,Hamparan,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Ada,Tidak Ada
KALIGONDANG,KALIGONDANG,Hamparan,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Ada,Tidak Ada
KALIGONDANG,BRECEK,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Ada
KALIGONDANG,SEMPOR LOR,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KALIGONDANG,PENARUBAN,Hamparan,Pertanian,Tidak,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KALIGONDANG,KALIKAJAR,Hamparan,Industri Pengolahan,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KALIGONDANG,KEMBARAN WETAN,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KALIGONDANG,SLINGA,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Lainnya,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KALIGONDANG,ARENAN,Hamparan,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KALIGONDANG,SIDANEGARA,Hamparan,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KALIGONDANG,PAGERANDONG,Hamparan,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Lainnya,Tidak,Tidak Ada,Tidak Ada,Ada
KALIGONDANG,SIDAREJA,Lembah,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Ada
PURBALINGGA,BOJONG,Hamparan,Industri Pengolahan,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Ada
PURBALINGGA,TOYAREJA,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Ada
PURBALINGGA,KEDUNG MENJANGAN,Hamparan,Industri Pengolahan,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Ada,Tidak Ada,Tidak Ada,Ada
PURBALINGGA,JATISABA,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Tidak,Tidak Ada,Tidak Ada,Ada
PURBALINGGA,BANCAR,Hamparan,Industri Pengolahan,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Ada,Tidak Ada,Tidak Ada,Ada
PURBALINGGA,PURBALINGGA WETAN,Hamparan,Industri Pengolahan,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Ada,Tidak Ada,Tidak Ada,Ada
PURBALINGGA,PENAMBONGAN,Hamparan,Perdagangan Besar/Eceran dan Rumah Makan,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
PURBALINGGA,PURBALINGGA KIDUL,Hamparan,Industri Pengolahan,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Ada,Ada,Tidak Ada,Ada
PURBALINGGA,KANDANG GAMPANG,Hamparan,Industri Pengolahan,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
PURBALINGGA,PURBALINGGA KULON,Hamparan,Industri Pengolahan,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Tidak,Tidak Ada,Tidak Ada,Ada
PURBALINGGA,PURBALINGGA LOR,Hamparan,Industri Pengolahan,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Tidak,Ada,Tidak Ada,Ada
PURBALINGGA,KEMBARAN KULON,Hamparan,Industri Pengolahan,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Tidak,Ada,Tidak Ada,Ada
PURBALINGGA,WIRASANA,Hamparan,Industri Pengolahan,Tidak,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Ada,Tidak Ada,Tidak Ada,Ada
KALIMANAH,JOMPO,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Ada
KALIMANAH,RABAK,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Lainnya,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KALIMANAH,BLATER,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Lainnya,Ada,Tidak Ada,Tidak Ada,Ada
KALIMANAH,SIDAKANGEN,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Lainnya,Ada,Tidak Ada,Tidak Ada,Ada
KALIMANAH,KARANGPETIR,Hamparan,Pertanian,Ada,Kayu Bakar,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KALIMANAH,GRECOL,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KALIMANAH,MEWEK,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Ada,Tidak Ada,Tidak Ada,Tidak Ada
KALIMANAH,KARANGMANYAR,Hamparan,Perdagangan Besar/Eceran dan Rumah Makan,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KALIMANAH,KALIKABONG,Hamparan,Perdagangan Besar/Eceran dan Rumah Makan,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KALIMANAH,SELABAYA,Hamparan,Industri Pengolahan,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KALIMANAH,KALIMANAH WETAN,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Ada,Tidak Ada,Tidak Ada,Ada
KALIMANAH,KALIMANAH KULON,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Lainnya,Tidak,Tidak Ada,Tidak Ada,Ada
KALIMANAH,MANDURAGA,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KALIMANAH,KARANGSARI,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Dalam lubang/dibakar,Tidak,Tidak Ada,Tidak Ada,Tidak Ada
KALIMANAH,KEDUNGWULUH,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Lainnya,Tidak,Tidak Ada,Tidak Ada,Ada
KALIMANAH,KLAPASAWIT,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Lainnya,Tidak,Tidak Ada,Tidak Ada,Ada
KALIMANAH,BABAKAN,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Lainnya,Tidak,Tidak Ada,Tidak Ada,Ada
PADAMARA,KARANGPULE,Hamparan,Pertanian,Ada,LPG,Jamban Sendiri,Tempat sampah kemudian diangkut,Ada,Tidak Ada,Tidak Ada,Ada
